year,month,island,Rec Visitors Ashore,Overnight Stays,Rec Overnight Boats,Rec Visitors on Boats,date
1998,2,Santa Barbara,0,0,NA,NA,1998-02-01
1998,2,San Miguel,0,0,NA,NA,1998-02-01
1998,2,Santa Cruz,51,0,NA,NA,1998-02-01
1998,2,Isthmus,0,0,NA,NA,1998-02-01
1998,2,Santa Rosa,0,0,NA,NA,1998-02-01
1998,3,Anacapa,1899,63,NA,NA,1998-03-01
1998,3,Santa Barbara,0,0,NA,NA,1998-03-01
1998,3,San Miguel,0,0,NA,NA,1998-03-01
1998,3,Santa Cruz,818,0,NA,NA,1998-03-01
1998,3,Isthmus,0,0,NA,NA,1998-03-01
1998,3,Santa Rosa,16,85,NA,NA,1998-03-01
1998,4,Anacapa,1620,72,NA,NA,1998-04-01
1998,4,Santa Barbara,43,18,NA,NA,1998-04-01
1998,4,San Miguel,44,10,NA,NA,1998-04-01
1998,4,Santa Cruz,603,33,NA,NA,1998-04-01
1998,4,Isthmus,0,0,NA,NA,1998-04-01
1998,4,Santa Rosa,173,78,NA,NA,1998-04-01
1998,5,Anacapa,2197,106,NA,NA,1998-05-01
1998,5,Santa Barbara,34,0,NA,NA,1998-05-01
1998,5,San Miguel,101,63,NA,NA,1998-05-01
1998,5,Santa Cruz,1580,325,NA,NA,1998-05-01
1998,5,Isthmus,0,0,NA,NA,1998-05-01
1998,5,Santa Rosa,821,683,NA,NA,1998-05-01
1998,6,Anacapa,1897,127,NA,NA,1998-06-01
1998,6,Santa Barbara,312,214,NA,NA,1998-06-01
1998,6,San Miguel,111,32,NA,NA,1998-06-01
1998,6,Santa Cruz,2342,917,NA,NA,1998-06-01
1998,6,Isthmus,0,0,NA,NA,1998-06-01
1998,6,Santa Rosa,431,197,NA,NA,1998-06-01
1998,7,Anacapa,2392,152,NA,NA,1998-07-01
1998,7,Santa Barbara,160,54,NA,NA,1998-07-01
1998,7,San Miguel,252,89,NA,NA,1998-07-01
1998,7,Santa Cruz,2719,953,NA,NA,1998-07-01
1998,7,Isthmus,0,0,NA,NA,1998-07-01
1998,7,Santa Rosa,575,342,NA,NA,1998-07-01
1998,8,Anacapa,2384,182,NA,NA,1998-08-01
1998,8,Santa Barbara,374,207,NA,NA,1998-08-01
1998,8,San Miguel,102,102,NA,NA,1998-08-01
1998,8,Santa Cruz,2733,1372,NA,NA,1998-08-01
1998,8,Isthmus,0,0,NA,NA,1998-08-01
1998,8,Santa Rosa,486,257,NA,NA,1998-08-01
1998,9,Anacapa,1250,117,NA,NA,1998-09-01
1998,9,Santa Barbara,110,24,NA,NA,1998-09-01
1998,9,San Miguel,245,12,NA,NA,1998-09-01
1998,9,Santa Cruz,2845,788,NA,NA,1998-09-01
1998,9,Isthmus,0,0,NA,NA,1998-09-01
1998,9,Santa Rosa,632,140,NA,NA,1998-09-01
1998,10,Anacapa,1287,51,NA,NA,1998-10-01
1998,10,Santa Barbara,95,62,NA,NA,1998-10-01
1998,10,San Miguel,214,111,NA,NA,1998-10-01
1998,10,Santa Cruz,1508,617,NA,NA,1998-10-01
1998,10,Isthmus,0,0,NA,NA,1998-10-01
1998,10,Santa Rosa,273,126,NA,NA,1998-10-01
1998,11,Anacapa,769,13,NA,NA,1998-11-01
1998,11,Santa Barbara,12,0,NA,NA,1998-11-01
1998,11,San Miguel,12,0,NA,NA,1998-11-01
1998,11,Santa Cruz,768,292,NA,NA,1998-11-01
1998,11,Isthmus,0,0,NA,NA,1998-11-01
1998,11,Santa Rosa,119,98,NA,NA,1998-11-01
1998,12,Anacapa,467,9,NA,NA,1998-12-01
1998,12,Santa Barbara,0,0,NA,NA,1998-12-01
1998,12,San Miguel,0,0,NA,NA,1998-12-01
1998,12,Santa Cruz,187,59,NA,NA,1998-12-01
1998,12,Isthmus,0,0,NA,NA,1998-12-01
1998,12,Santa Rosa,0,0,NA,NA,1998-12-01
1999,1,Anacapa,495,9,NA,NA,1999-01-01
1999,1,Santa Barbara,0,0,NA,NA,1999-01-01
1999,1,San Miguel,0,0,NA,NA,1999-01-01
1999,1,Santa Cruz,310,56,NA,NA,1999-01-01
1999,1,Isthmus,0,0,NA,NA,1999-01-01
1999,1,Santa Rosa,22,0,NA,NA,1999-01-01
1999,2,Anacapa,590,1,NA,NA,1999-02-01
1999,2,Santa Barbara,0,138,NA,NA,1999-02-01
1999,2,San Miguel,0,0,NA,NA,1999-02-01
1999,2,Santa Cruz,534,138,NA,NA,1999-02-01
1999,2,Isthmus,0,0,NA,NA,1999-02-01
1999,2,Santa Rosa,24,0,NA,NA,1999-02-01
1999,3,Anacapa,1622,12,NA,NA,1999-03-01
1999,3,Santa Barbara,2,0,NA,NA,1999-03-01
1999,3,San Miguel,45,0,NA,NA,1999-03-01
1999,3,Santa Cruz,731,241,NA,NA,1999-03-01
1999,3,Isthmus,0,0,NA,NA,1999-03-01
1999,3,Santa Rosa,66,16,NA,NA,1999-03-01
1999,4,Anacapa,1910,39,NA,NA,1999-04-01
1999,4,Santa Barbara,15,0,NA,NA,1999-04-01
1999,4,San Miguel,25,0,NA,NA,1999-04-01
1999,4,Santa Cruz,1457,439,NA,NA,1999-04-01
1999,4,Isthmus,0,0,NA,NA,1999-04-01
1999,4,Santa Rosa,182,125,NA,NA,1999-04-01
1999,5,Anacapa,2352,65,NA,NA,1999-05-01
1999,5,Santa Barbara,71,0,NA,NA,1999-05-01
1999,5,San Miguel,166,63,NA,NA,1999-05-01
1999,5,Santa Cruz,3418,846,NA,NA,1999-05-01
1999,5,Isthmus,0,0,NA,NA,1999-05-01
1999,5,Santa Rosa,498,169,NA,NA,1999-05-01
1999,6,Anacapa,1727,89,NA,NA,1999-06-01
1999,6,Santa Barbara,230,150,NA,NA,1999-06-01
1999,6,San Miguel,87,28,NA,NA,1999-06-01
1999,6,Santa Cruz,1292,360,NA,NA,1999-06-01
1999,6,Isthmus,0,0,NA,NA,1999-06-01
1999,6,Santa Rosa,385,210,NA,NA,1999-06-01
1999,7,Anacapa,2341,139,NA,NA,1999-07-01
1999,7,Santa Barbara,235,0,NA,NA,1999-07-01
1999,7,San Miguel,132,54,NA,NA,1999-07-01
1999,7,Santa Cruz,2379,1092,NA,NA,1999-07-01
1999,7,Isthmus,0,0,NA,NA,1999-07-01
1999,7,Santa Rosa,304,131,NA,NA,1999-07-01
1999,8,Anacapa,2498,161,NA,NA,1999-08-01
1999,8,Santa Barbara,239,51,NA,NA,1999-08-01
1999,8,San Miguel,235,73,NA,NA,1999-08-01
1999,8,Santa Cruz,2918,1259,NA,NA,1999-08-01
1999,8,Isthmus,0,0,NA,NA,1999-08-01
1999,8,Santa Rosa,725,461,NA,NA,1999-08-01
1999,9,Anacapa,1158,159,NA,NA,1999-09-01
1999,9,Santa Barbara,18,0,NA,NA,1999-09-01
1999,9,San Miguel,136,18,NA,NA,1999-09-01
1999,9,Santa Cruz,2282,957,NA,NA,1999-09-01
1999,9,Isthmus,0,0,NA,NA,1999-09-01
1999,9,Santa Rosa,334,170,NA,NA,1999-09-01
1999,10,Anacapa,1129,102,NA,NA,1999-10-01
1999,10,Santa Barbara,121,28,NA,NA,1999-10-01
1999,10,San Miguel,187,45,NA,NA,1999-10-01
1999,10,Santa Cruz,1813,589,NA,NA,1999-10-01
1999,10,Isthmus,0,0,NA,NA,1999-10-01
1999,10,Santa Rosa,283,220,NA,NA,1999-10-01
1999,11,Anacapa,719,22,NA,NA,1999-11-01
1999,11,Santa Barbara,152,0,NA,NA,1999-11-01
1999,11,San Miguel,40,0,NA,NA,1999-11-01
1999,11,Santa Cruz,762,282,NA,NA,1999-11-01
1999,11,Isthmus,0,0,NA,NA,1999-11-01
1999,11,Santa Rosa,39,15,NA,NA,1999-11-01
1999,12,Anacapa,330,10,NA,NA,1999-12-01
1999,12,Santa Barbara,0,0,NA,NA,1999-12-01
1999,12,San Miguel,86,0,NA,NA,1999-12-01
1999,12,Santa Cruz,340,183,NA,NA,1999-12-01
1999,12,Isthmus,0,0,NA,NA,1999-12-01
1999,12,Santa Rosa,77,44,NA,NA,1999-12-01
2000,1,Anacapa,293,19,NA,NA,2000-01-01
2000,1,Santa Barbara,9,0,NA,NA,2000-01-01
2000,1,San Miguel,0,0,NA,NA,2000-01-01
2000,1,Santa Cruz,580,169,NA,NA,2000-01-01
2000,1,Isthmus,0,0,NA,NA,2000-01-01
2000,1,Santa Rosa,34,18,NA,NA,2000-01-01
2000,2,Anacapa,325,0,NA,NA,2000-02-01
2000,2,Santa Barbara,0,0,NA,NA,2000-02-01
2000,2,San Miguel,43,0,NA,NA,2000-02-01
2000,2,Santa Cruz,126,41,NA,NA,2000-02-01
2000,2,Isthmus,0,0,NA,NA,2000-02-01
2000,2,Santa Rosa,0,0,NA,NA,2000-02-01
2000,3,Anacapa,1783,5,NA,NA,2000-03-01
2000,3,Santa Barbara,6,0,NA,NA,2000-03-01
2000,3,San Miguel,0,0,NA,NA,2000-03-01
2000,3,Santa Cruz,1287,317,NA,NA,2000-03-01
2000,3,Isthmus,0,0,NA,NA,2000-03-01
2000,3,Santa Rosa,104,71,NA,NA,2000-03-01
2000,4,Anacapa,1655,43,NA,NA,2000-04-01
2000,4,Santa Barbara,160,45,NA,NA,2000-04-01
2000,4,San Miguel,0,0,NA,NA,2000-04-01
2000,4,Santa Cruz,1738,551,NA,NA,2000-04-01
2000,4,Isthmus,0,0,NA,NA,2000-04-01
2000,4,Santa Rosa,311,205,NA,NA,2000-04-01
2000,5,Anacapa,2269,104,NA,NA,2000-05-01
2000,5,Santa Barbara,125,60,NA,NA,2000-05-01
2000,5,San Miguel,87,0,NA,NA,2000-05-01
2000,5,Santa Cruz,1946,711,NA,NA,2000-05-01
2000,5,Isthmus,0,0,NA,NA,2000-05-01
2000,5,Santa Rosa,401,268,NA,NA,2000-05-01
2000,6,Anacapa,2360,146,NA,NA,2000-06-01
2000,6,Santa Barbara,210,144,NA,NA,2000-06-01
2000,6,San Miguel,225,106,NA,NA,2000-06-01
2000,6,Santa Cruz,1826,504,NA,NA,2000-06-01
2000,6,Isthmus,0,0,NA,NA,2000-06-01
2000,6,Santa Rosa,484,283,NA,NA,2000-06-01
2000,7,Anacapa,3060,165,NA,NA,2000-07-01
2000,7,Santa Barbara,320,94,NA,NA,2000-07-01
2000,7,San Miguel,145,36,NA,NA,2000-07-01
2000,7,Santa Cruz,2685,1200,NA,NA,2000-07-01
2000,7,Isthmus,0,0,NA,NA,2000-07-01
2000,7,Santa Rosa,443,273,NA,NA,2000-07-01
2000,8,Anacapa,2165,224,NA,NA,2000-08-01
2000,8,Santa Barbara,247,50,NA,NA,2000-08-01
2000,8,San Miguel,222,59,NA,NA,2000-08-01
2000,8,Santa Cruz,3525,1547,NA,NA,2000-08-01
2000,8,Isthmus,0,0,NA,NA,2000-08-01
2000,8,Santa Rosa,430,292,NA,NA,2000-08-01
2000,9,Anacapa,1258,135,NA,NA,2000-09-01
2000,9,Santa Barbara,7,0,NA,NA,2000-09-01
2000,9,San Miguel,244,133,NA,NA,2000-09-01
2000,9,Santa Cruz,1906,835,NA,NA,2000-09-01
2000,9,Isthmus,115,0,NA,NA,2000-09-01
2000,9,Santa Rosa,249,132,NA,NA,2000-09-01
2000,10,Anacapa,688,55,NA,NA,2000-10-01
2000,10,Santa Barbara,6,0,NA,NA,2000-10-01
2000,10,San Miguel,79,0,NA,NA,2000-10-01
2000,10,Santa Cruz,1245,527,NA,NA,2000-10-01
2000,10,Isthmus,236,0,NA,NA,2000-10-01
2000,10,Santa Rosa,159,149,NA,NA,2000-10-01
2000,11,Anacapa,422,36,NA,NA,2000-11-01
2000,11,Santa Barbara,3,0,NA,NA,2000-11-01
2000,11,San Miguel,3,0,NA,NA,2000-11-01
2000,11,Santa Cruz,671,267,NA,NA,2000-11-01
2000,11,Isthmus,0,0,NA,NA,2000-11-01
2000,11,Santa Rosa,22,16,NA,NA,2000-11-01
2000,12,Anacapa,306,6,NA,NA,2000-12-01
2000,12,Santa Barbara,7,0,NA,NA,2000-12-01
2000,12,San Miguel,9,0,NA,NA,2000-12-01
2000,12,Santa Cruz,462,167,NA,NA,2000-12-01
2000,12,Isthmus,23,0,NA,NA,2000-12-01
