park,year,month,statistic,value,stat1,stat2,stat_desc
CHIS,2002,6,TV,58370,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,6,TRVH,567413,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,6,TH,603893,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,6,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,6,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,6,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,6,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,6,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,6,BC,1676,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,6,MISC,7817,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,6,NROS,1557,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,6,TOS,11050,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,6,TNRVH,36480,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,7,TRV,60572,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,7,TNRV,1265,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2002,7,TV,61837,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,7,TRVH,665855,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,7,TH,696215,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,7,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,7,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,7,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,7,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,7,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,7,BC,1742,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,7,MISC,15444,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,7,NROS,1553,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,7,TOS,18739,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,7,TNRVH,30360,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,8,TRV,69022,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,8,TNRV,1803,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2002,8,TV,70825,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,8,TRVH,932709,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,8,TH,975981,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,8,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,8,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,8,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,8,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,8,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,8,BC,2863,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,8,MISC,21159,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,8,NROS,5661,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,8,TOS,29683,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,8,TNRVH,43272,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,9,TRV,54380,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,9,TNRV,1494,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
