park_code,report_date,year,month,island,measure,monthly_value,same_month_prior_year,percent_change,calendar_ytd,prior_calendar_ytd,ytd_percent_change,fiscal_ytd,row_type,source_file,source_report_url
CHIS,1995-03-01,1995,3,Santa Rosa,Overnight Stays,59,,0,69,,0,69,island,CHIS_island_report_1995_03.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Anacapa,Rec Visitors Ashore,1507,,0,3534,,0,3534,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Anacapa,Overnight Stays,161,,0,285,,0,285,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Santa Barbara,Rec Visitors Ashore,108,,0,175,,0,175,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Santa Barbara,Overnight Stays,17,,0,17,,0,17,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,San Miguel,Rec Visitors Ashore,138,,0,164,,0,164,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,San Miguel,Overnight Stays,52,,0,58,,0,58,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Santa Cruz,Rec Visitors Ashore,519,,0,1439,,0,1439,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Santa Cruz,Overnight Stays,205,,0,287,,0,287,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Santa Rosa,Rec Visitors Ashore,377,,0,457,,0,457,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-04-01,1995,4,Santa Rosa,Overnight Stays,236,,0,305,,0,305,island,CHIS_island_report_1995_04.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Anacapa,Rec Visitors Ashore,1798,,0,5332,,0,5332,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Anacapa,Overnight Stays,91,,0,376,,0,376,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Santa Barbara,Rec Visitors Ashore,83,,0,258,,0,258,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Santa Barbara,Overnight Stays,4,,0,21,,0,21,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,San Miguel,Rec Visitors Ashore,185,,0,349,,0,349,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,San Miguel,Overnight Stays,60,,0,118,,0,118,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Santa Cruz,Rec Visitors Ashore,1290,,0,2729,,0,2729,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
